name,country,subcountry,geonameid
Baalbek,Lebanon,Baalbek-Hermel,277130
Baao,Philippines,Bicol,1729814
Baar,Switzerland,Zug,2661653
Baardheere,Somalia,Gedo,65170
Baarn,Netherlands,Utrecht,2759544
Bab Ezzouar,Algeria,Alger,2505854
Babaeski,Turkey,Kırklareli,751371
Babahoyo,Ecuador,Los Ríos,3660418
Babana,Nigeria,Niger,2348507
Babat,Indonesia,East Java,1650888
Babati,Tanzania,Manyara,161312
Babenhausen,Germany,Hesse,2953770
Baberu,India,Uttar Pradesh,1278064
Babijn,Aruba,N/A,3577277
Babo-Pangulo,Philippines,Central Luzon,1729734
BABOR - VILLE,Algeria,Sétif,6698360
Babruysk,Belarus,Mogilev,630468
Babu,China,Guangxi Zhuangzu Zizhiqu,1817858
Babushkin,Russia,Moscow,579870
Bacabal,Brazil,Maranhão,3406910
Bachhraon,India,Uttar Pradesh,1278036
Back Mountain,United States,Pennsylvania,5178800
Backnang,Germany,Baden-Württemberg,2953568
Bacoli,Italy,Campania,3182599
Bacolod City,Philippines,Western Visayas,1729564
Bacoor,Philippines,Calabarzon,1729524
Bad Aibling,Germany,Bavaria,2953558
Bad Arolsen,Germany,Hesse,2955421
Bad Bentheim,Germany,Lower Saxony,2953552
Bad Berleburg,Germany,North Rhine-Westphalia,2953545
Bad Driburg,Germany,North Rhine-Westphalia,2953525
Bad Essen,Germany,Lower Saxony,2953464
Bad Harzburg,Germany,Lower Saxony,2953449
Bad Hersfeld,Germany,Hesse,2953439
Bad Honnef,Germany,North Rhine-Westphalia,2953435
Bad Kissingen,Germany,Bavaria,2953424
Bad Kreuznach,Germany,Rheinland-Pfalz,2953416
Bad Laasphe,Germany,North Rhine-Westphalia,2882091
Bad Langensalza,Germany,Thuringia,2953413
Bad Lippspringe,Germany,North Rhine-Westphalia,2953405
Bad Mergentheim,Germany,Baden-Württemberg,2953402
Bad Nauheim,Germany,Hesse,2953395
Bad Neuenahr-Ahrweiler,Germany,Rheinland-Pfalz,2953391
Bad Neustadt an der Saale,Germany,Bavaria,2953389
Bad Oeynhausen,Germany,North Rhine-Westphalia,2953386
Bad Oldesloe,Germany,Schleswig-Holstein,2953385
Bad Pyrmont,Germany,Lower Saxony,2953379
Bad Rappenau,Germany,Baden-Württemberg,2953374
Bad Reichenhall,Germany,Bavaria,2953371
Bad Salzuflen,Germany,North Rhine-Westphalia,2953358
Bad Salzungen,Germany,Thuringia,2953357
Bad Schwartau,Germany,Schleswig-Holstein,2953347
Bad Segeberg,Germany,Schleswig-Holstein,2953341
Bad Soden am Taunus,Germany,Hesse,2953339
Bad Vilbel,Germany,Hesse,2953321
Bad Waldsee,Germany,Baden-Württemberg,2953320
Bad Wildungen,Germany,Hesse,2953317
Bad Zwischenahn,Germany,Lower Saxony,2953310
Badagara,India,Kerala,1278023
Badagry,Nigeria,Lagos,2348395
Badajoz,Spain,Extremadura,2521420
Badalona,Spain,Catalonia,3129028
Badarganj,Bangladesh,Rangpur Division,1185283
Baddi,India,Himachal Pradesh,7279742
Baddomalhi,Pakistan,Punjab,1184075
Baden,Switzerland,Aargau,2661646
Baden,Austria,Lower Austria,2782067
Baden-Baden,Germany,Baden-Württemberg,2953504
Badger,United States,Alaska,5879898
Badlapur,India,Maharashtra,1277976
Badou,Togo,Plateaux,2367660
Badulla,Sri Lanka,Uva,1250615
Badvel,India,Andhra Pradesh,1277949
Baekrajan,Indonesia,Central Java,1650815
Bambang,Philippines,Cagayan Valley,1727663
Bambanglipuro,Indonesia,Daerah Istimewa Yogyakarta,1650434
Bambari,Central African Republic,Ouaka,240604
Bamberg,Germany,Bavaria,2952984
Bamenda,Cameroon,North-West Province,2234974
Bamiantong,China,Heilongjiang Sheng,2038482
Bamusso,Cameroon,South-West Province,2234941
Ban Bang Kadi Pathum Thani,Thailand,Phra Nakhon Si Ayutthaya,1620875
Ban Bueng,Thailand,Chon Buri,1620371
Ban Chalong,Thailand,Phuket,7091861
Ban Chang,Thailand,Rayong,1620254
Ban Dung,Thailand,Changwat Udon Thani,1619650
Ban Houakhoua,Laos,Bokeo Province,1904391
Ban Huai Thalaeng,Thailand,Nakhon Ratchasima,1603235
Ban Khlong Bang Sao Thong,Thailand,Samut Prakan,1604452
Ban Lam Luk Ka,Thailand,Pathum Thani,1617111
Ban Mai,Thailand,Songkhla,1601579
Ban Mo,Thailand,Sara Buri,1616658
Ban Na,Thailand,Sukhothai,1156257
Ban Na San,Thailand,Surat Thani,1156046
Ban Nong Wua So,Thailand,Changwat Udon Thani,1599640
Ban Phaeo,Thailand,Samut Sakhon,1614465
Ban Phai,Thailand,Khon Kaen,1614455
Ban Phan Don,Thailand,Changwat Udon Thani,1614336
Ban Pong,Thailand,Ratchaburi,1155139
Ban Rangsit,Thailand,Pathum Thani,1613769
Ban Ratsada,Thailand,Phuket,7091912
Ban Selaphum,Thailand,Roi Et,1613284
Ban Tak,Thailand,Tak,1154677
Ban Talat Bueng,Thailand,Chon Buri,1620442
Ban Talat Nua,Thailand,Phuket,1117656
Ban Talat Yai,Thailand,Phuket,1117652
Banamba,Mali,Koulikoro,2460546
Banat,India,Uttar Pradesh,1277409
Banaybanay,Philippines,Calabarzon,1727522
Banaz,Turkey,Uşak,322051
Banbridge,United Kingdom,Northern Ireland,2656407
Banbury,United Kingdom,England,2656406
Banda,India,Madhya Pradesh,1277398
Banda Aceh,Indonesia,Aceh,1215502
Bandar,Indonesia,North Sumatra,1215498
Bandar Labuan,Malaysia,Sabah,7302815
Bandar Lampung,Indonesia,Lampung,1624917
Bandar Seri Begawan,Brunei,Brunei and Muara,1820906
Bandar-e Lengeh,Iran,Hormozgan,141665
Bandeirantes,Brazil,Paraná,3470912
Banderilla,Mexico,Veracruz,3532414
Bandipura,India,Kashmir,1277358
Bandundu,Democratic Republic of the Congo,Bandundu,2317397
Bandung,Indonesia,West Java,1650357
Banes,Cuba,Holguín,3567869
Banfora,Burkina Faso,Cascades,2362909
Bang Ban,Thailand,Phra Nakhon Si Ayutthaya,1619616
Bang Bo District,Thailand,Samut Prakan,1620919
Bang Bua Thong,Thailand,Nonthaburi,1619602
Bang Krathum,Thailand,Phitsanulok,1619437
Bang Kruai,Thailand,Nonthaburi,1619434
Bang Lamung,Thailand,Chon Buri,1619423
Bang Len,Thailand,Nakhon Pathom,1619415
Bang Mun Nak,Thailand,Phichit,1619400
Bang Pa-in,Thailand,Phra Nakhon Si Ayutthaya,1619369
Bang Pakong,Thailand,Chachoengsao,1619363
Bang Phae,Thailand,Ratchaburi,1157683
Bang Racham,Thailand,Sing Buri,1619281
Bang Rakam,Thailand,Phitsanulok,1619276
Bang Saphan,Thailand,Prachuap Khiri Khan,1157662
Banga,India,Punjab,1277338
Banganapalle,India,Andhra Pradesh,1277330
Bangaon,India,Bihar,1277322
Bangaon,India,West Bengal,1277324
Bangassou,Central African Republic,Mbomou,240498
Bangil,Indonesia,East Java,1650319
Bangkalan,Indonesia,East Java,1650298
Bangkok,Thailand,Bangkok,1609350
Bangolo,Ivory Coast,Dix-Huit Montagnes,2292179
Bangor,United Kingdom,Northern Ireland,2656396
Bangor,United Kingdom,Wales,2656397
Bangor,United States,Maine,4957280
Bangui,Central African Republic,Bangui,2389853
Baniachang,Bangladesh,Sylhet,1185274
Banikoara,Benin,Alibori,2395317
Banja Luka,Bosnia and Herzegovina,Republika Srpska,3204541
Banjar,Indonesia,Bali,1650232
Banjar,Indonesia,West Java,1650234
Banjaran,Indonesia,West Java,1650227
Banjarmasin,Indonesia,South Kalimantan,1650213
Banjul,Gambia,Banjul,2413876
Bankra,India,West Bengal,1348747
Bankstown,Australia,New South Wales,2176947
Banmankhi,India,Bihar,1277263
Banning,United States,California,5326032
Bannu,Pakistan,Khyber Pakhtunkhwa,1183460
Banora Point,Australia,New South Wales,2176934
Banqiao,Taiwan,Taipei,1670029
Bansalan,Philippines,Davao,1727080
Banstead,United Kingdom,England,2656379
Bantayan,Philippines,Central Visayas,1727043
Banting,Malaysia,Selangor,1734781
Bantul,Indonesia,Daerah Istimewa Yogyakarta,1650119
Banyo,Cameroon,Adamaoua,2234794
Banyoles,Spain,Catalonia,3128885
Banyumas,Indonesia,Central Java,1650095
Banyuwangi,Indonesia,East Java,1650077
Baoding,China,Hebei,1816971
Baoqing,China,Heilongjiang Sheng,2038446
Baoshan,China,Heilongjiang Sheng,2038438
Baotou,China,Inner Mongolia,2038432
Baoying,China,Jiangsu,1816890
Baqubah,Iraq,Diyālá,97990
Bar,Ukraine,Vinnyts'ka,712861
Bar,Montenegro,Bar,3204509
Bar Bigha,India,Bihar,1277038
Barabai,Indonesia,South Kalimantan,1650064
Barabinsk,Russia,Novosibirsk,1510916
Baracoa,Cuba,Guantánamo,3567834
Barajas de Madrid,Spain,Madrid,3128832
Barakaldo,Spain,Basque Country,3109453
Baraki,Algeria,Tipaza,2505653
Baranagar,India,West Bengal,1277082
Baranoa,Colombia,Atlántico,3689235
Baranovichi,Belarus,Brest,630429
Baras,Philippines,Calabarzon,1726765
Barauli,India,Bihar,1277053
